"il","bolge","bebek_olum_hizi_norm","cocuk_olum_hizi_norm","hastane_sayisi_norm","hastane_yatak_sayisi_norm","toplam_hekim_sayisi_norm","derslik_basina_ogrenci_norm","ogretmen_basina_ogrenci_norm","muze_sayisi_norm","kutuphane_sayisi_norm","sinema_sayisi_norm","tiyatro_sayisi_norm","GSYH_norm","isgucune_katilma_orani_norm","issizlik_orani_norm","istihdam_orani_norm","girisim_sayisi_norm","ihracat_norm","saglik_skoru","egitim_skoru","kultur_skoru","ekonomi_skoru","yasanabilirlik_endeksi"
"Adana","Akdeniz",0.485232067510549,0.667298578199052,0.0822230221561745,0.486770264594708,0.384615384615385,0.189189189189189,0.509803921568627,0.089859583340295,0.0539640915868338,0.191377943555157,0.207121473769315,0.314661140815031,0.552780930760499,0.476117103235747,0.424307036247335,0.47720847520729,0.172771831248245,0.5159,0.353,0.1376,0.4132,0.3927
"Adıyaman","Güneydoğu Anadolu",0.261603375527426,0,0.162320098367679,0.186896262074758,0.307692307692308,0.567567567567568,0.705882352941177,0.101388741542259,0.157366656958282,0.311357408198415,0,0.153713598804819,0.461975028376844,0.494607087827427,0.356076759061833,0.283373468042404,0.0131602395209464,0.1563,0.643,0.1476,0.2712,0.3252
"Afyonkarahisar","Ege",0.755274261603376,0.798104265402844,0.333650967978209,0.454430911381772,0.307692307692308,0.797297297297297,0.92156862745098,0.0839560393786086,0.194849512453104,0.371335533985598,0.164162446171331,0.235012334617816,0.64472190692395,0.855161787365177,0.640724946695096,0.494436936546093,0.0672827641894247,0.6803,0.8679,0.2346,0.5259,0.6901
"Aksaray","İç Anadolu",0.656118143459916,0.755450236966825,0.246517892477019,0.267114657706846,0.153846153846154,0.72972972972973,0.764705882352941,0.144148414799302,0.12487932391942,0.254082133270143,0.0889037731021046,0.345667460497976,0.509648127128263,0.844375963020031,0.518123667377399,0.505653440057697,0.0537727248019499,0.5077,0.7546,0.1625,0.4912,0.5587
"Amasya","Karadeniz",0.757383966244726,0.799052132701422,0.201873727852662,0.313733725325493,0.230769230769231,0.837837837837838,0.96078431372549,0.370399123073108,0.181613806754057,0.327174251459617,0.333234594421442,0.237155362375295,0.629965947786606,0.828967642526965,0.618336886993603,0.500424543744807,0.0637479121473704,0.5754,0.9082,0.3764,0.5131,0.7117
"Ankara","İç Anadolu",0.782700421940928,0.867298578199052,0.0895409376648276,0.632087358252835,1,0.527027027027027,0.705882352941177,0.0783152986102086,0.0803350261749969,0.686845335895818,0.280008495480128,0.910508780418486,0.671963677639046,0.642526964560863,0.584221748400853,0.679318009024467,0.308761429205062,0.899,0.6226,0.3455,0.7123,0.7807
"Antalya","Akdeniz",0.848101265822785,0.909004739336493,0.133939307136781,0.414951700965981,0.461538461538462,0.472972972972973,0.686274509803922,0.244480450596922,0.0235379512462359,0.629002198073431,0.234915232836946,0.558326973036027,0.891032917139614,0.838212634822804,0.849680170575693,0.906329069799175,0.112593757267023,0.7161,0.5854,0.3478,0.7902,0.7339
"Ardahan","Doğu Anadolu",0.818565400843882,0.813270142180095,0.517915657859726,0.236035279294414,0.307692307692308,1,0.980392156862745,0,0.626125448593167,0.0491107824786487,0.622197754826365,0.286502399662602,1,0.967642526964561,1,0.290509526194031,0.00674500649138147,0.6937,1,0.4067,0.659,0.841
"Artvin","Karadeniz",0.981012658227848,1,0.625985106388645,0.20117597648047,0.307692307692308,0.851351351351351,0.901960784313726,0.278048444016304,0.502894859754896,0.165781673509722,0.290375251994329,0.364478814556654,0.844494892167991,0.75808936825886,0.778251599147121,0.659799797052782,0.0537946779117096,0.8216,0.8853,0.3852,0.639,0.8315
"Aydın","Ege",0.867088607594937,0.909004739336493,0.199154826731826,0.428811423771525,0.307692307692308,0.594594594594595,0.882352941176471,0.285490945731114,0.143104955895665,0.369243829844604,0.216147279112034,0.295728486444028,0.620885357548241,0.688751926040062,0.559701492537313,0.717856428427672,0.138597390305645,0.6992,0.7458,0.3057,0.5441,0.6855
"Ağrı","Doğu Anadolu",0.415611814345992,0.588625592417062,0.166674306144046,0.108777824443511,0,0.756756756756757,0.705882352941177,0.0929216982596724,0.136424215206722,0.22939483893774,0.132460756946727,0.000379071796045315,0.393870601589103,0.463790446841294,0.289978678038379,0.035469094526111,0.00657762609943986,0.2657,0.7386,0.1551,0.147,0.3547
"Balıkesir","Marmara",0.852320675105485,0.913744075829384,0.174877835539064,0.345653086938261,0.307692307692308,0.689189189189189,0.882352941176471,0.148725421501113,0.156932212888451,0.48000330700735,0.334552189040361,0.41364578413903,0.589103291713961,0.901386748844376,0.609808102345416,0.624776281542129,0.108831033407057,0.6637,0.7936,0.3436,0.5931,0.7187
"Bartın","Karadeniz",0.559071729957806,0.827488151658768,0.151410329579766,0.24947501049979,0.0769230769230769,0.905405405405405,0.901960784313726,0.306550398858121,0.154758497940459,0.306759215277384,0.41653867161945,0.195152456908812,0.721906923950057,0.798151001540832,0.686567164179104,0.433573374267757,0.0711803078695132,0.4427,0.9126,0.3665,0.5192,0.6675
"Batman","Güneydoğu Anadolu",0.514767932489451,0.615165876777251,0.15671893569233,0.367912641747165,0,0.378378378378378,0.490196078431373,0.1949801700314,0.125364714638966,0.517205140986931,0.079009707217227,0.0725374323692935,0.20544835414302,0.474576271186441,0.140724946695096,0.110121631705027,0.0375510945701378,0.3792,0.4386,0.271,0.1147,0.3203
"Bayburt","Karadeniz",0.915611814345992,0.853080568720379,0.240547824151642,0.389332213355733,0.307692307692308,0.891891891891892,0.96078431372549,0.745354895908895,0.352088552739317,0.600459522759454,0.248566223520476,0.18895976619225,0.601589103291714,0.828967642526965,0.59275053304904,0.333306019118182,0,0.6976,0.9355,0.638,0.4409,0.8251
"Bilecik","Marmara",1,0.951658767772512,0.426278590202097,0.288534229315414,0.230769230769231,0.689189189189189,0.686274509803922,0.550384007772055,0.247558321778392,0.190244553005276,0.0843259114696284,0.565713256697242,0.717366628830874,0.838212634822804,0.700426439232409,0.400435050542233,0.0815227338768894,0.7554,0.6945,0.3266,0.6053,0.7146
"Bingöl","Doğu Anadolu",0.419831223628692,0.643601895734597,0.285908954101832,0.309533809323814,0,0.567567567567568,0.725490196078431,0.110954352395162,0.208727961317816,0.530983775599568,0.34994740385177,0.119671663592002,0.337116912599319,0.751926040061633,0.339019189765458,0.171342415291597,0.00231468771056902,0.3805,0.6529,0.3722,0.2622,0.4757
"Bitlis","Doğu Anadolu",0.29746835443038,0.499526066350711,0.218987292788138,0.406551868962621,0,0.837837837837838,0.784313725490196,0.352048405508097,0.184780602984451,0.0909227415260859,0.336636854529143,0.0515721179975184,0.4211123723042,0.608628659476117,0.35820895522388,0.178371461604448,0.00333528301749712,0.3089,0.8191,0.2881,0.2405,0.4719
"Bolu","Karadeniz",0.873417721518987,0.914691943127962,0.409156642861438,0.811423771524569,0.615384615384615,0.716216216216216,0.764705882352941,0.291273702159511,0.240777348798924,0.740782922052498,0.214304289105719,0.577169799721268,0.816118047673099,0.793528505392912,0.76865671641791,0.46272947794613,0.0744486128025635,0.9755,0.7478,0.4743,0.6463,0.8692
"Burdur","Akdeniz",0.772151898734177,0.882464454976303,0.327987192995013,0.375892482150357,0.230769230769231,0.756756756756757,0.96078431372549,0.456339136107702,0.451205986378104,0.381474079978104,0.519565108914384,0.330449842085189,0.691259931895573,0.967642526964561,0.724946695095949,0.700353367849486,0.128601693027298,0.6622,0.8673,0.5889,0.6573,0.8464
"Bursa","Marmara",0.839662447257384,0.920379146919431,0.0710260378806297,0.335573288534229,0.307692307692308,0.202702702702703,0.490196078431373,0.156635969775458,0.0122328814036024,0.505338965183515,0.159184953383048,0.534843943398362,0.733257661748014,0.73959938366718,0.673773987206823,0.640286744499265,0.505807636642105,0.6274,0.3499,0.2414,0.7189,0.5659
"Denizli","Ege",0.765822784810127,0.860663507109005,0.216084316907976,0.443931121377572,0.384615384615385,0.675675675675676,0.764705882352941,0.133763303544687,0.20256213615428,0.408327241334778,0.313552822982913,0.369990395717014,0.745743473325766,0.852080123266564,0.729211087420042,0.757600246118253,0.576013454795645,0.6869,0.7273,0.3215,0.7629,0.7537
"Diyarbakır","Güneydoğu Anadolu",0.512658227848101,0.660663507109005,0.103814795370172,0.353632927341453,0.307692307692308,0.108108108108108,0.490196078431373,0.172751253622633,0.0522215546345907,0.342024951644909,0.108887226724622,0.0684030297041839,0.145289443813848,0.582434514637905,0.124733475479744,0.129173900093589,0.0269736777273934,0.4651,0.3021,0.1852,0.1225,0.2773
"Düzce","Karadeniz",0.708860759493671,0.785781990521327,0.212792053352753,0.21587568248635,0.307692307692308,0.702702702702703,0.803921568627451,0.153831476297226,0.180869254822525,0.531748910094543,0.238968594752794,0.406351274106053,0.860385925085131,0.761171032357473,0.791044776119403,0.513232330692897,0.117432392072127,0.5537,0.7608,0.3383,0.6369,0.6838
"Edirne","Marmara",0.845991561181435,0.939336492890995,0.302998409002329,0.847543049139017,0.769230769230769,0.797297297297297,0.96078431372549,0.451231255623851,0.206805448961564,1,0.49610327367653,0.365180217848511,0.783200908059024,0.838212634822804,0.756929637526652,0.664453631474805,0.0325665205651572,1,0.8877,0.712,0.635,1
"Elazığ","Doğu Anadolu",0.569620253164557,0.690995260663507,0.207806164837998,1,0.384615384615385,0.513513513513513,0.686274509803922,0.105030874043589,0.156063555742662,0.0952358045939492,0.245024480805961,0.239031610622205,0.298524404086266,0.812018489984592,0.323027718550106,0.40262804579658,0.0680672602576364,0.742,0.6058,0.1587,0.3537,0.5401
"Erzincan","Doğu Anadolu",0.877637130801688,0.920379146919431,0.535189149531265,0.359932801343973,0.307692307692308,0.810810810810811,0.862745098039216,0.261835702930539,0.546389159849435,0.330891542594671,0.171126327263832,0.362176542743609,0.467650397275823,0.719568567026194,0.43816631130064,0.366780429347459,0.0179837383899273,0.7868,0.8451,0.4113,0.4034,0.7362
"Erzurum","Doğu Anadolu",0.611814345991561,0.703317535545024,0.301534574353548,0.888702225955481,0.461538461538462,0.797297297297297,0.784313725490196,0.315387337562812,0.268113117926967,0.683938143231217,0.233023243609521,0.179459278755092,0.541430192962542,0.845916795069337,0.547974413646055,0.248662869581128,0.00569785132514346,0.7765,0.7986,0.4791,0.4027,0.7397
"Eskişehir","İç Anadolu",0.957805907172996,0.975355450236967,0.120697937951726,0.679546409071819,0.538461538461538,0.418918918918919,0.823529411764706,0.0688014634605327,0.088676614192257,0.710507638695889,0.284615481080763,0.538893408040171,0.629965947786606,0.776579352850539,0.599147121535181,0.52409905614212,0.22055835955709,0.8688,0.6274,0.3551,0.6022,0.7386
"Gaziantep","Güneydoğu Anadolu",0.00421940928270048,0.250236966824644,0.102473756191264,0.527929441411172,0.307692307692308,0,0.176470588235294,0.0795866221727027,0.0169306036401101,0.232105065351091,0.0825513921450749,0.303398846842657,0.47900113507378,0.691833590138675,0.43816631130064,0.424420765236198,0.622305338537969,0.2393,0.0891,0.0909,0.5306,0.2355
"Giresun","Karadeniz",0.845991561181435,0.949763033175355,0.501423763414585,0.655186896262075,0.307692307692308,0.783783783783784,0.843137254901961,0.138285033715614,0.345987104153832,0.372426494909799,0.149216123401592,0.163811606271722,0.791146424517594,0.830508474576271,0.759061833688699,0.444209086768768,0.134945378730512,0.8653,0.8215,0.3029,0.5663,0.7728
