"il","bolge","GSYH","bebek_olum_hizi","cocuk_olum_hizi","derslik_basina_ogrenci","girisim_sayisi","hastane_sayisi","hastane_yatak_sayisi","ihracat","isgucune_katilma_orani","issizlik_orani","istihdam_orani","kutuphane_sayisi","muze_sayisi","ogretmen_basina_ogrenci","sinema_sayisi","tiyatro_sayisi","toplam_hekim_sayisi"
"Adana","Akdeniz",208.639352630658,11,12.6,27.25,0.0456982888478324,1.40698055816677e-05,325.166666666667,1.26207888412372,51.675,13.075,44.9,9.78291169350336e-06,1.42896462938813e-06,19.25,1.31904427328135e-05,7.47458421526099e-06,2.25
"Adıyaman","Güneydoğu Anadolu",153.099362962743,13.65,24.3333333333333,20.25,0.0341433492639673,1.89445667466262e-05,206.166666666667,0.0984182334763877,49.675,12.775,43.3,1.97507185230784e-05,1.61230355290436e-06,16.75,1.97507185230784e-05,4.03075888226089e-07,2
"Afyonkarahisar","Ege",181.15403773859,7.8,10.3,16,0.0467253160747744,2.93718770685478e-05,312.333333333333,0.493002684322547,53.7,6.925,49.975,2.33639931227085e-05,1.33508532129763e-06,14,2.30302217923841e-05,6.00788394583933e-06,2
"Aksaray","İç Anadolu",219.339054243508,8.975,11.05,17.25,0.0473939570097348,2.40689003217439e-05,238,0.394506697572663,50.725,7.1,47.1,1.66190026031089e-05,2.29227622111847e-06,16,1.66190026031089e-05,3.4384143316777e-06,1.5
"Amasya","Karadeniz",181.893556578218,7.775,10.2833333333333,15.25,0.0470822507711691,2.13518268623063e-05,256.5,0.467231572195386,53.375,7.35,49.45,2.208809675411e-05,5.89015913442933e-06,13.5,2.06155569705027e-05,1.17803182688587e-05,1.75
"Ankara","İç Anadolu",414.255240477691,7.475,9.08333333333333,21,0.0577464915266914,1.45151787715184e-05,382.833333333333,2.2535215627361,54.3,10.375,48.65,1.2325018661023e-05,1.24538516086992e-06,16.75,4.02817683067582e-05,9.96308128695938e-06,4.25
"Antalya","Akdeniz",292.723878774706,6.7,8.35,22,0.0712791300860902,1.72172929750112e-05,296.666666666667,0.823345982798258,59.125,7.2,54.875,6.84989075349909e-06,3.88777583306705e-06,17,3.7119002596664e-05,8.42351430497861e-06,2.5
"Ardahan","Doğu Anadolu",198.922297165666,7.05,10.0333333333333,12.25,0.0345687456978471,4.05863482676664e-05,225.666666666667,0.0516474810488811,61.525,5.1,58.4,6.49381572282663e-05,0,13.25,5.41151310235552e-06,2.16460524094221e-05,2
"Artvin","Karadeniz",225.830501065306,5.125,6.75,15,0.0565829671282011,4.71635265583714e-05,211.833333333333,0.394666748416779,58.1,8.5,53.2,5.30589673781678e-05,4.42158061484731e-06,14.25,1.17908816395928e-05,1.03170214346437e-05,2
"Aydın","Ege",202.106047337403,6.475,8.35,19.75,0.0600438531559191,2.11863527373805e-05,302.166666666667,1.0129274800658,53.175,9.625,48.075,1.83759181905852e-05,4.53993272943869e-06,14.5,2.29158509200239e-05,7.78274182189489e-06,2
"Ağrı","Doğu Anadolu",100.186482533283,11.825,13.9833333333333,16.75,0.0193652134645862,1.92095667188642e-05,175.166666666667,0.0504271813595881,48.175,13.275,41.75,1.773190774049e-05,1.47765897837417e-06,16.75,1.5269142776533e-05,4.92552992791388e-06,1
"Balıkesir","Marmara",242.797103652095,6.65,8.26666666666667,18,0.0544951368045697,1.97088389570272e-05,269.166666666667,0.795913553563579,52.475,6.175,49.25,1.97088389570272e-05,2.36506067484326e-06,14.5,2.89719932668299e-05,1.18253033742163e-05,2
"Bartın","Karadeniz",167.399138667301,10.125,9.78333333333333,14,0.0430971025994513,1.8280590984695e-05,231,0.521418027880095,55.4,7.85,51.05,1.94992970503413e-05,4.87482426258533e-06,14.25,1.94992970503413e-05,1.4624472787756e-05,1.25
"Batman","Güneydoğu Anadolu",125.086984589025,10.65,13.5166666666667,23.75,0.0238154186648824,1.86036762724682e-05,278,0.276241648112083,44.025,13.1,38.25,1.66657933274194e-05,3.10061271207803e-06,19.5,3.10061271207803e-05,3.10061271207803e-06,1
"Bayburt","Karadeniz",165.262156802784,5.9,9.33333333333333,14.25,0.0371199406412828,2.37055580051299e-05,286.5,0.00247248969993505,52.75,7.35,48.85,3.85215317583361e-05,1.18527790025649e-05,13.5,3.55583370076948e-05,8.88958425192371e-06,2
"Bilecik","Marmara",295.272747263808,4.9,7.6,18,0.0411216527869556,3.50092555719418e-05,246.5,0.596820284362678,55.3,7.2,51.375,2.84450201522027e-05,8.75231389298546e-06,17,1.31284708394782e-05,3.28211770986955e-06,1.75
"Bingöl","Doğu Anadolu",141.352127146767,11.775,13.0166666666667,20.25,0.0274649269037009,2.64662664496668e-05,254.833333333333,0.0193478994253644,46.925,8.6,42.9,2.47018486863557e-05,1.76441776331112e-06,16.5,3.17595197396002e-05,1.23509243431778e-05,1
"Bitlis","Doğu Anadolu",117.852246306913,13.225,15.55,15.25,0.0278839441218244,2.23933697710782e-05,293.333333333333,0.0267886284228966,48.775,10.925,43.35,2.23933697710782e-05,5.59834244276955e-06,15.75,7.69772085880813e-06,1.18964776908853e-05,1
"Bolu","Karadeniz",299.22618621191,6.4,8.25,17.5,0.044835163342101,3.39672025044327e-05,454,0.545245857699655,57.475,7.925,52.975,2.77913475036268e-05,4.63189125060446e-06,16,4.32309850056416e-05,7.71981875100744e-06,3
"Burdur","Akdeniz",214.08773844918,7.6,8.81666666666667,16.75,0.0590004564523421,2.90271759678205e-05,281.166666666667,0.940053076191257,54.725,5.1,51.95,4.80762601967027e-05,7.25679399195512e-06,13.5,2.35845804738541e-05,1.81419849798878e-05,1.75
"Bursa","Marmara",284.620323994326,6.8,8.15,27,0.0554197502942012,1.33883496947269e-05,265.166666666667,3.69010217365773,55.65,8.8,50.75,5.76010393842903e-06,2.4908557571585e-06,19.5,3.03573045403692e-05,5.83794318084024e-06,2
"Denizli","Ege",227.732444747558,7.675,9.2,18.25,0.0624130712809824,2.22166927342528e-05,308.166666666667,4.2019431192161,55.925,6.975,52.05,2.41074750946147e-05,2.12713015540718e-06,16,2.50528662747957e-05,1.11083463671264e-05,2.25
"Diyarbakır","Güneydoğu Anadolu",123.660279474829,10.675,12.7166666666667,28.75,0.0249511671211875,1.53838952154547e-05,272.333333333333,0.199126172774769,42.7,11.35,37.875,9.61493450965922e-06,2.74712414561692e-06,19.5,2.1427568335812e-05,4.12068621842538e-06,2
"Düzce","Karadeniz",240.279904527437,8.35,10.5166666666667,17.75,0.0478457516813132,2.2016323391414e-05,217.666666666667,0.85862242396785,58.45,8.45,53.5,2.2016323391414e-05,2.44625815460156e-06,15.5,3.18013560098203e-05,8.56190354110545e-06,2
"Edirne","Marmara",226.072542236586,6.725,7.81666666666667,16,0.0568603926374851,2.75063420057242e-05,468.333333333333,0.239901225921785,56.75,7.2,52.7,2.45165222224933e-05,7.17556747975414e-06,13.5,5.74045398380331e-05,1.73409547427392e-05,3.5
