"degisken","il","deger","nufus","deger_normalize"
"GSYH","Adana",474523919,2274374,208.639352630658
"GSYH","Adıyaman",94956909.75,620230.6,153.099362962743
"GSYH","Afyonkarahisar",135687236.5,749015.8,181.15403773859
"GSYH","Aksaray",95686136,436247.6,219.339054243508
"GSYH","Amasya",61761848,339549.4,181.893556578218
"GSYH","Ankara",2411583651.25,5821492.2,414.255240477691
"GSYH","Antalya",790580748.25,2700773,292.723878774706
"GSYH","Ardahan",18379545,92395.6,198.922297165666
"GSYH","Artvin",38305956.75,169622.6,225.830501065306
"GSYH","Aydın",233716403.25,1156404.8,202.106047337403
"GSYH","Ağrı",50850611,507559.6,100.186482533283
"GSYH","Balıkesir",307979968,1268466.4,242.797103652095
"GSYH","Bartın",34339522.75,205135.6,167.399138667301
"GSYH","Batman",80685333,645033.8,125.086984589025
"GSYH","Bayburt",13942903.75,84368.4,165.262156802784
"GSYH","Bilecik",67473070.75,228511,295.272747263808
"GSYH","Bingöl",40056309.25,283379.6,141.352127146767
"GSYH","Bitlis",42102550,357248.6,117.852246306913
"GSYH","Bolu",96901946.75,323841.8,299.22618621191
"GSYH","Burdur",59003394.25,275603.8,214.08773844918
"GSYH","Bursa",914128642.5,3211747.6,284.620323994326
"GSYH","Denizli",240886999.5,1057763.2,227.732444747558
"GSYH","Diyarbakır",225072244.5,1820085.2,123.660279474829
"GSYH","Düzce",98223445.5,408787.6,240.279904527437
"GSYH","Edirne",94517629.25,418085.4,226.072542236586
"GSYH","Elazığ",109291504,598723,182.541014793151
"GSYH","Erzincan",54046318.25,240167.4,225.036030077354
"GSYH","Erzurum",121115937.25,747704.4,161.983716091546
"GSYH","Eskişehir",261419622.75,913998,286.017718583629
"GSYH","Gaziantep",444903375.25,2172879,204.752945401009
"GSYH","Giresun",71205758.25,454744.8,156.583996672419
"GSYH","Gümüşhane",21850591.5,144925.2,150.77151178677
"GSYH","Hakkari",43192303,280609.6,153.923112395299
"GSYH","Hatay",316578895.25,1608222.2,196.850220852566
"GSYH","Isparta",92341320.5,446498.4,206.812209181489
"GSYH","Iğdır",29350929.25,205683.8,142.699275538472
"GSYH","Kahramanmaraş",215060587.75,1149147,187.148021750046
"GSYH","Karabük",51272032.25,251335.8,203.998126212024
"GSYH","Karaman",66516179.75,261756.4,254.114817249932
"GSYH","Kars",41235371.25,275106.4,149.888811201775
"GSYH","Kastamonu",81228525,380924.4,213.24054064271
"GSYH","Kayseri",330441740.25,1446602.4,228.426097074082
"GSYH","Kilis",28912638.25,152605.2,189.460373892895
"GSYH","Kocaeli",935374989.25,2101319.4,445.136988336947
"GSYH","Konya",504904306.5,2313407.6,218.251339063639
"GSYH","Kütahya",123313322,575314.2,214.340828020584
"GSYH","Kırklareli",110110467,374298.4,294.17829998739
"GSYH","Kırıkkale",66644443.25,280928.2,237.229453112931
"GSYH","Kırşehir",47816016,244393,195.65215042984
"GSYH","Malatya",138104309.25,774068.4,178.41357333538
"GSYH","Manisa",373092196,1470746,253.675478974616
"GSYH","Mardin",129994389.5,884298.4,147.00285503174
"GSYH","Mersin",490451574.75,1931334.6,253.944383717871
"GSYH","Muğla",297499139.5,1063495.2,279.737171827386
"GSYH","Muş",47932350,397147.4,120.691587053069
"GSYH","Nevşehir",61151779.75,314422,194.489506936538
"GSYH","Niğde",70489408,370684.8,190.159963397474
"GSYH","Ordu",115556489.25,767732,150.516702768674
"GSYH","Osmaniye",98907693.5,559053.4,176.919939132827
"GSYH","Rize",64176601.25,346821.6,185.042111708152
"GSYH","Sakarya",278577236.5,1094699.8,254.478201695113
"GSYH","Samsun",263515732.5,1378417.4,191.172668380419
"GSYH","Siirt",46630215.5,335905,138.819652878046
"GSYH","Sinop",37541562,224345.6,167.338080176299
"GSYH","Sivas",118652808,637970.8,185.984700240199
"GSYH","Tekirdağ",404020457.25,1163702.6,347.185318009945
"GSYH","Tokat",82273891.5,606554,135.64149523373
"GSYH","Trabzon",146336658,820930.4,178.257082451813
"GSYH","Tunceli",20894515.25,85804.6,243.512763301734
"GSYH","Uşak",80768091.25,375070.6,215.341035127787
"GSYH","Van",112612178.5,1125495.2,100.055671938894
"GSYH","Yalova",85285776.5,302326.2,282.098529667624
"GSYH","Yozgat",66051317.5,416802,158.47169039496
"GSYH","Zonguldak",124596739.25,588338.2,211.777408385177
"GSYH","Çanakkale",153028594,566020,270.358987314936
"GSYH","Çankırı",45353037,199662.4,227.148611856814
"GSYH","Çorum",89914299,523937.6,171.612609974928
"GSYH","İstanbul",6943647675,15772086,440.249163934308
"GSYH","İzmir",1407200804.75,4472959.4,314.601738783947
"GSYH","Şanlıurfa",237575641.25,2206127.8,107.688974886224
"GSYH","Şırnak",88280716,563886.2,156.557681319387
"bebek_olum_hizi","Adana",11,2274374,11
"bebek_olum_hizi","Adıyaman",13.65,620230.6,13.65
