"siralama","il","bolge","yasanabilirlik_endeksi","saglik_skoru","egitim_skoru","kultur_skoru","ekonomi_skoru"
1,"Edirne","Marmara",1,1,0.8877,0.712,0.635
2,"Kastamonu","Karadeniz",0.935,0.8582,0.8147,0.7092,0.6585
3,"Isparta","Akdeniz",0.9289,0.9221,0.8809,0.6599,0.5593
4,"Nevşehir","İç Anadolu",0.8884,0.4547,0.8785,1,0.5681
5,"Rize","Karadeniz",0.886,0.77,0.8655,0.6808,0.5777
6,"Sinop","Karadeniz",0.8795,0.7117,0.8147,0.8644,0.4839
7,"Bolu","Karadeniz",0.8692,0.9755,0.7478,0.4743,0.6463
8,"Tunceli","Doğu Anadolu",0.8573,0.7391,0.9318,0.6962,0.4413
9,"Burdur","Akdeniz",0.8464,0.6622,0.8673,0.5889,0.6573
10,"Ardahan","Doğu Anadolu",0.841,0.6937,1,0.4067,0.659
11,"Artvin","Karadeniz",0.8315,0.8216,0.8853,0.3852,0.639
12,"Bayburt","Karadeniz",0.8251,0.6976,0.9355,0.638,0.4409
13,"Muğla","Ege",0.8106,0.6354,0.783,0.5114,0.7389
14,"Ankara","İç Anadolu",0.7807,0.899,0.6226,0.3455,0.7123
15,"Giresun","Karadeniz",0.7728,0.8653,0.8215,0.3029,0.5663
16,"Kırklareli","Marmara",0.7646,0.7323,0.7782,0.3966,0.6242
17,"Çanakkale","Marmara",0.758,0.8049,0.726,0.3416,0.6392
18,"Karaman","İç Anadolu",0.7548,0.6227,0.8519,0.4367,0.5905
19,"Denizli","Ege",0.7537,0.6869,0.7273,0.3215,0.7629
20,"Trabzon","Karadeniz",0.7501,0.8497,0.7669,0.3224,0.549
21,"Gümüşhane","Karadeniz",0.7445,0.6195,0.9734,0.5417,0.3366
22,"Erzurum","Doğu Anadolu",0.7397,0.7765,0.7986,0.4791,0.4027
23,"Eskişehir","İç Anadolu",0.7386,0.8688,0.6274,0.3551,0.6022
24,"Erzincan","Doğu Anadolu",0.7362,0.7868,0.8451,0.4113,0.4034
25,"Kütahya","Ege",0.7349,0.7264,0.8611,0.3417,0.5132
26,"Antalya","Akdeniz",0.7339,0.7161,0.5854,0.3478,0.7902
27,"Yozgat","İç Anadolu",0.7249,0.6574,0.9188,0.3893,0.447
28,"Zonguldak","Karadeniz",0.7245,0.7079,0.8871,0.3887,0.4277
29,"Çorum","Karadeniz",0.7213,0.7374,0.7546,0.34,0.57
30,"Karabük","Karadeniz",0.7211,0.6661,0.77,0.5458,0.4194
31,"Balıkesir","Marmara",0.7187,0.6637,0.7936,0.3436,0.5931
32,"Sivas","İç Anadolu",0.7175,0.754,0.8283,0.4092,0.399
33,"Bilecik","Marmara",0.7146,0.7554,0.6945,0.3266,0.6053
34,"Çankırı","İç Anadolu",0.7143,0.6441,0.7157,0.5066,0.5145
35,"Tokat","Karadeniz",0.7122,0.7066,0.8202,0.3863,0.4615
36,"Amasya","Karadeniz",0.7117,0.5754,0.9082,0.3764,0.5131
37,"Uşak","Ege",0.7024,0.5519,0.8226,0.3983,0.5726
38,"Afyonkarahisar","Ege",0.6901,0.6803,0.8679,0.2346,0.5259
39,"İstanbul","Marmara",0.6885,0.7363,0.1994,0.3681,1
40,"Aydın","Ege",0.6855,0.6992,0.7458,0.3057,0.5441
41,"Düzce","Karadeniz",0.6838,0.5537,0.7608,0.3383,0.6369
42,"Ordu","Karadeniz",0.6818,0.6979,0.7297,0.3361,0.5201
43,"Sakarya","Marmara",0.6774,0.6066,0.6325,0.26,0.7716
44,"İzmir","Ege",0.6774,0.7191,0.5264,0.3408,0.6843
45,"Kocaeli","Marmara",0.6731,0.5784,0.4956,0.2767,0.907
46,"Samsun","Karadeniz",0.6715,0.7202,0.7973,0.1942,0.5412
47,"Kırıkkale","İç Anadolu",0.6696,0.8168,0.8246,0.291,0.315
48,"Bartın","Karadeniz",0.6675,0.4427,0.9126,0.3665,0.5192
49,"Manisa","Ege",0.6655,0.618,0.669,0.2557,0.6924
50,"Yalova","Marmara",0.6597,0.6077,0.6065,0.4171,0.5863
51,"Kars","Doğu Anadolu",0.6579,0.4911,0.9393,0.3142,0.4678
52,"Kırşehir","İç Anadolu",0.646,0.4818,0.8505,0.4978,0.3468
53,"Malatya","Doğu Anadolu",0.6273,0.6812,0.7192,0.2958,0.425
54,"Konya","İç Anadolu",0.6004,0.6938,0.5321,0.2491,0.5656
55,"Tekirdağ","Marmara",0.589,0.6285,0.3089,0.294,0.7749
56,"Bursa","Marmara",0.5659,0.6274,0.3499,0.2414,0.7189
57,"Aksaray","İç Anadolu",0.5587,0.5077,0.7546,0.1625,0.4912
58,"Niğde","İç Anadolu",0.5437,0.3746,0.8154,0.2499,0.4311
59,"Elazığ","Doğu Anadolu",0.5401,0.742,0.6058,0.1587,0.3537
60,"Mersin","Akdeniz",0.5341,0.5582,0.4427,0.2739,0.5674
